location,continent,Days,total_cases,total_cases_per_million,people_vaccinated,Total vaccinations,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population,Vaccinations performed as a percentage of population per day,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,HDI,distance
Sri Lanka,Asia,37,"86,989","4,062",,"755,319",3.51,,100,"21,413,250",0.0953%,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782,15002015.43
Sweden,Europe,69,"707,192","70,024","722,519","839,946",10.4,3.24,69.44,"10,099,270",0.1205%,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,7667467.302
Switzerland,Europe,39,"569,312","65,781","616,913","882,184",10.96,3.83,73.15,"8,654,618",0.2614%,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8011214.857
Thailand,Asia,3,"26,598",381,,"7,263",0.05,,76.85,"69,799,978",0.0035%,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,13871481.45
Trinidad and Tobago,North America,7,"7,753","5,540",440,441,0.03,,90.74,"1,399,491",0.0045%,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.796,4527480.217
Turkey,Asia,52,"2,835,989","33,626","7,807,838","9,883,607",12.45,3.2,80.09,"84,339,067",0.2254%,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,10181664.51
Turks and Caicos Islands,North America,29,,,"6,433","6,438",16.62,,,"38,718",0.5734%,37.312,,,,,,,,,,,,80.22,,2866459.697
Ukraine,Europe,11,"1,474,452","33,714","38,237","17,188",0.09,,88.89,"43,733,759",0.0036%,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,9158483.69
United Arab Emirates,Asia,61,"419,996","42,465","3,480,415","6,323,141",64.78,22.12,89.81,"9,890,400",1.0481%,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,12569102
United Kingdom,Europe,83,"4,254,714","62,674","23,053,716","22,592,810",35.95,1.99,87.96,"67,886,004",0.4010%,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932,6830409.647
United States,North America,77,"29,286,134","88,477","64,071,674","87,729,448",29.36,10.13,75.46,"331,002,647",0.3442%,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,0
Uruguay,South America,7,"67,717","19,494","170,134","70,408",4.9,,72.22,"3,473,727",0.2896%,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817,8780558.986
Venezuela,South America,15,"144,277","5,074","12,194","8,704",0.04,,90.74,"28,435,943",0.0020%,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,4507978.135
Zimbabwe,Africa,16,"36,377","2,447","36,019","32,012",0.24,,87.96,"14,862,927",0.0135%,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,14330315.14
